case,clean_fit_mse,final_error_percent,model,n_points,run_idx,test_rel_rmse_percent,train_rel_rmse_percent,used_fit_mse
full_cover,0.00047774497743619925,42.82193294606689,PI-NODE-2state,10,11,43.132079634143054,2.56061755460119,0.00022990699503484298
full_cover,0.0023508764865546507,29.697626214682014,PI-NODE-2state,10,12,33.34198861916836,6.536832816278116,0.001980025705858849
full_cover,0.0024201138688073405,44.85015013100434,PI-NODE-2state,10,13,43.78140575579452,6.5004042701450615,0.0024815836437497105
full_cover,0.000188882627038144,36.066360549340146,PI-NODE-2state,10,14,39.20686666280406,2.4529607660483905,0.00017204575333180805
full_cover,0.0004894920881534833,30.892714823143013,PI-NODE-2state,10,15,36.94015020858614,3.281830950962794,0.001215614140049092
full_cover,0.00028293395780020554,42.76200063814241,PI-NODE-2state,10,16,42.66361249744992,3.24484435547844,0.000294455834146492
full_cover,0.0022437446029817134,39.245254880985605,PI-NODE-2state,10,17,42.87064004047082,6.113980821453821,0.001434829526025116
full_cover,4.154788978909176e-05,44.31198381876362,PI-NODE-2state,10,18,48.102755005689104,1.958130826430442,0.00012586111105488012
full_cover,0.0008839014241339543,47.33833371452952,PI-NODE-2state,10,19,43.61350727152384,4.399365475452551,0.0010319314143194236
narrow_centered,0.0005486775928253785,23.5537499033012,PI-NODE-2state,10,0,28.06456235749527,1.8902596956338718,0.00036879199204432406
narrow_centered,0.0013227345848067357,17.12637298507404,PI-NODE-2state,10,1,23.761609502874297,3.778359754898566,0.0009540005061318919
narrow_centered,0.0011444511208992423,24.71718259098554,PI-NODE-2state,10,2,27.989023535143442,3.5812123134306457,0.0014819652252608918
narrow_centered,0.0014156662462525497,9.27578436380739,PI-NODE-2state,10,3,17.518637193321762,4.095837614247151,0.001383849078964765
narrow_centered,0.0019228384054037896,23.609468983148798,PI-NODE-2state,10,4,27.878882300615487,4.344868193875239,0.001720756111351018
narrow_centered,0.0012286405950512186,22.987389403005427,PI-NODE-2state,10,5,26.946796258132146,3.7610829232283614,0.0013233535742025958
narrow_centered,0.0001643631717025468,11.092981747795815,PI-NODE-2state,10,6,19.833648810080675,1.6995716103376528,0.00022204701921615236
narrow_centered,0.00026290014427208624,16.221512260700628,PI-NODE-2state,10,7,23.586297754492776,2.7194363739333594,0.00011485602328328588
narrow_centered,7.895030415937359e-05,19.361443999338096,PI-NODE-2state,10,8,25.124461364737137,1.3008073188366653,9.236731242179894e-05
narrow_centered,0.0018212769498545315,17.24803214998237,PI-NODE-2state,10,9,23.361780929490454,4.39580070254051,0.001586483825751616
narrow_centered,0.0003512292371749051,22.649872342286386,PI-NODE-2state,10,10,26.234349218096177,2.213155376038015,0.0003515967034359176
